id,name,description,key,type
id1,商品ID,"即商品的唯一ID编号:001,002,003,004，005",productId_var,String
id2,商品名称,"即商品的名称:例如：渠道分析手册",productName_var,String
id3,流量位,首页所有流量位，包括Banner、限时秒杀、GIO推荐；商品详情页推荐位,floor_var,String
id4,搜索词,搜索词：预置搜索词,searchWord_var,String
id5,购买数量,购买数量,buyQuantity_var,Int
id6,订单ID,订单ID,orderId_var,String
id7,订单金额,订单金额,orderAmount,Double
id8,支付方式,支付方式,paymentMethod_var,String
id9,支付金额,实际支付金额,payAmount_var,Double
id10,分享渠道,分享成功渠道（微信朋友圈、微信好友、微博、QQ）,sharechannel,String
