,id,key,name,description,type,isSystem,attrs,projectId,createdAt,updatedAt,creator,updater
10,Yo1Yeaol,paySuccess,支付成功,,counter,False,[],z98jGyZP,1564714215000,1564714215000,江鸥,江鸥
11,nPNz3XPW,paidChapter,解锁付费,,counter,False,[],z98jGyZP,1563965115000,1563965115000,江鸥,江鸥
12,a9aApG9B,bugVip,购买vip,,counter,False,[],z98jGyZP,1563964728000,1563964728000,江鸥,江鸥
13,JoOg83oY,recommend_imp,商品详情页推荐商品曝光,,counter,False,"[{'id': 'bR7GjzRG', 'name': '所在位置', 'associatedAt': 1562251404544, 'key': 'item_index', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1562247991000, 'updatedAt': 1562247991000}, {'id': '4PKEqp9E', 'name': '文字内容', 'associatedAt': 1562251404544, 'key': 'item_title', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1562248507000, 'updatedAt': 1562248507000}]",z98jGyZP,1562246237000,1562251404000,gilian,gilian
14,GRwWgdRZ,recommend_click,商品详情页推荐商品点击,,counter,False,"[{'id': '4PKEqp9E', 'name': '文字内容', 'associatedAt': 1562251377926, 'key': 'item_title', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1562248507000, 'updatedAt': 1562248507000}]",z98jGyZP,1562246993000,1562251377000,gilian,gilian
15,L9Gre7o6,mine_item_imp,我的页面内容曝光,,counter,False,"[{'id': 'bR7GjzRG', 'name': '所在位置', 'associatedAt': 1562248519233, 'key': 'item_index', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1562247991000, 'updatedAt': 1562247991000}, {'id': '4PKEqp9E', 'name': '文字内容', 'associatedAt': 1562248519233, 'key': 'item_title', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1562248507000, 'updatedAt': 1562248507000}]",z98jGyZP,1562248469000,1562248519000,gilian,gilian
16,qR5rdwP1,comment_imp,商品评论曝光,,counter,False,"[{'id': 'bR7GjzRG', 'name': '所在位置', 'associatedAt': 1562247998542, 'key': 'item_index', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1562247991000, 'updatedAt': 1562247991000}]",z98jGyZP,1562247941000,1562247998000,gilian,gilian
17,4RzAaY9V,shareLabelShow,分享商品文字曝光,,counter,False,[],z98jGyZP,1562247059000,1562247059000,gilian,gilian
18,rREA8JRL,in_app_message_imp,弹窗展示,,counter,True,"[{'id': 'QReYVnRq', 'name': '弹窗名称', 'associatedAt': 1558958332377, 'key': 'in_app_message_name', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1558958332000, 'updatedAt': 1558958332000}]",z98jGyZP,1558958332000,1561394952000,系统,黄日超
19,LPdM3KoN,in_app_message_close,关闭弹窗,,counter,True,"[{'id': 'QReYVnRq', 'name': '弹窗名称', 'associatedAt': 1558958332377, 'key': 'in_app_message_name', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1558958332000, 'updatedAt': 1558958332000}]",z98jGyZP,1558958332000,1561356876000,系统,黄日超
20,YoX48roq,in_app_message_cmp_click,弹窗点击,,counter,True,"[{'id': 'QReYVnRq', 'name': '弹窗名称', 'associatedAt': 1558958332377, 'key': 'in_app_message_name', 'type': 'String', 'projectId': 'z98jGyZP', 'createdAt': 1558958332000, 'updatedAt': 1558958332000}]",z98jGyZP,1558958332000,1561355482000,系统,黄日超
21,4PKm1p9E,registerSuccess,注册成功,,counter,False,[],z98jGyZP,1561111085000,1561111085000,江鸥,江鸥
